district,biden_2020,trump_2020,clinton_2016,trump_2016,obama_2012,romney_2012
FL-14,57.2,41.6,57.2,39.0,57.6,41.2
FL-15,45.2,53.7,43.1,53.1,46.6,52.2
FL-16,45.5,53.6,43.0,53.7,45.1,53.7
FL-17,35.9,63.3,35.0,62.2,41.3,57.6
FL-18,45.5,53.9,44.1,53.3,47.7,51.4
FL-19,39.6,59.7,37.5,59.6,38.7,60.5
FL-20,77.3,22.1,80.2,18.1,82.5,17.1
FL-21,58.2,41.2,58.6,39.1,60.4,38.9
FL-22,57.1,42.3,56.8,41.0,56.3,43.0
FL-23,58.3,41.2,61.9,35.8,61.4,38.0
FL-24,75.4,24.0,82.9,15.4,85.7,13.9
FL-25,38.2,61.2,47.9,49.7,44.9,54.5
FL-26,46.9,52.5,56.8,40.5,55.4,43.9
FL-27,51.3,48.1,58.5,38.9,53.0,46.3
GA-01,43.1,55.5,40.9,56.4,43.0,55.9
GA-02,55.7,43.4,55.0,43.3,58.6,40.8
GA-03,36.8,62.0,32.8,64.3,33.0,65.9
GA-04,78.8,20.2,75.3,22.2,73.6,25.6
GA-05,86.2,12.6,85.0,11.9,83.1,15.8
GA-06,54.8,43.7,46.8,48.3,37.5,60.8
GA-07,52.4,46.1,44.8,51.1,38.3,60.2
GA-08,37.0,62.0,34.4,63.3,37.5,61.6
GA-09,22.4,76.4,19.3,77.8,20.5,78.1
GA-10,39.2,59.6,35.8,61.3,36.3,62.5
GA-11,41.5,56.9,35.3,60.3,31.5,66.9
GA-12,43.0,55.8,40.7,56.9,43.6,55.4
GA-13,75.6,23.4,71.0,26.6,69.2,30.0
GA-14,25.3,73.4,22.1,75.0,25.3,73.2
HI-01,63.8,34.5,63.1,30.5,69.7,29.0
HI-02,63.6,34.0,61.4,29.6,71.4,26.7
IA-01,47.4,50.8,45.2,48.7,56.2,42.5
IA-02,47.1,51.1,45.0,49.1,55.8,42.7
IA-03,49.0,49.1,45.0,48.5,51.4,47.2
IA-04,35.7,62.7,33.5,60.9,45.3,53.4
ID-01,30.1,67.1,25.4,63.7,32.2,64.9
ID-02,36.6,60.1,29.8,54.5,33.1,64.1
IL-01,73.9,24.7,75.4,21.4,78.9,20.2
IL-02,77.5,21.2,78.0,19.1,80.7,18.5
IL-03,55.5,42.9,55.2,39.9,55.9,42.6
IL-04,80.7,17.3,82.1,13.2,80.9,17.1
IL-05,72.1,26.0,70.5,23.9,66.0,31.8
IL-06,55.3,42.6,50.2,43.2,45.1,53.3
IL-07,86.3,12.1,87.4,9.2,87.2,11.8
IL-08,59.2,39.0,58.1,36.4,57.4,40.9
IL-09,71.0,27.4,70.1,24.9,65.0,33.3
IL-10,64.2,34.0,62.0,32.6,57.5,41.1
IL-11,61.9,36.2,58.9,35.4,57.8,40.6
IL-12,41.9,56.1,40.2,55.0,49.7,48.1
IL-13,47.0,50.5,44.2,49.7,48.6,48.9
IL-14,50.2,47.8,44.8,48.7,44.2,54.2
IL-15,25.9,72.2,24.5,70.7,34.1,63.9
IL-16,40.9,56.9,38.3,55.5,45.2,52.9
IL-17,48.1,49.7,46.7,47.4,57.6,40.6
IL-18,36.8,60.9,33.3,60.6,37.4,60.7
IN-01,53.6,44.8,54.1,41.5,61.2,37.4
IN-02,38.9,59.3,36.1,59.3,42.1,56.1
IN-03,34.0,63.9,30.1,65.1,35.7,62.5
IN-04,34.0,63.8,30.2,64.3,36.9,60.9
IN-05,47.9,50.1,41.3,53.1,40.7,57.5
IN-06,29.1,68.8,27.4,67.7,37.3,60.4
IN-07,62.9,35.3,59.0,36.2,62.9,35.3
IN-08,33.1,65.1,30.9,64.6,39.6,58.4
IN-09,37.2,60.8,34.2,61.1,40.7,57.2
KS-01,28.1,69.7,24.3,69.3,27.6,70.1
KS-02,41.3,56.3,37.4,55.8,42.2,55.4
KS-03,54.3,43.7,47.2,46.0,44.3,53.8
KS-04,38.0,59.7,33.0,60.2,36.1,61.6
KY-01,25.5,73.1,23.9,72.4,32.1,66.4
KY-02,30.6,67.6,27.6,67.5,35.1,63.3
KY-03,60.0,38.1,54.9,39.9,55.7,42.8
KY-04,33.4,64.7,29.3,65.2,34.8,63.4
KY-05,18.6,80.1,17.5,79.6,23.2,75.0
KY-06,44.5,53.6,39.4,54.7,42.2,55.8
LA-01,30.1,68.0,26.7,68.7,26.9,70.9
LA-02,75.3,23.0,74.6,22.2,75.8,22.8
LA-03,30.2,68.1,29.2,67.3,32.3,66.1
LA-04,37.0,61.5,36.6,60.6,39.7,59.0
LA-05,34.1,64.5,34.1,63.5,37.7,61.0
LA-06,34.4,63.8,31.0,64.8,32.0,66.1
MA-01,61.1,36.9,57.2,36.5,64.0,34.3
MA-02,61.8,36.0,56.2,36.8,58.7,39.2
MA-03,63.4,34.6,58.2,35.4,56.9,41.4
MA-04,64.5,33.7,59.2,35.0,57.2,41.3
MA-05,74.5,23.9,69.3,25.7,65.2,33.1
MA-06,62.6,35.6,56.1,38.2,54.7,43.9
MA-07,85.3,13.3,84.1,11.9,82.5,15.6
MA-08,66.2,32.2,60.4,34.4,57.8,40.8
MA-09,57.9,40.3,52.5,41.8,55.5,43.1
MD-01,39.1,58.8,33.4,62.0,37.7,60.4
MD-02,65.8,32.4,60.1,35.7,63.1,35.0
MD-03,68.7,29.4,62.8,32.3,60.7,37.1
MD-04,79.1,19.2,77.2,19.7,78.1,20.8
MD-05,68.6,29.7,64.1,32.1,66.1,32.4
MD-06,60.6,37.5,55.3,40.2,55.2,42.8
MD-07,78.4,20.0,75.8,20.2,76.2,22.3
MD-08,69.3,28.9,65.0,30.6,62.0,36.0
ME-01,60.1,37.0,54.1,39.3,59.6,38.2
ME-02,44.8,52.3,41.1,51.4,53.0,44.4
MI-01,40.6,57.9,36.6,57.9,45.3,53.6
MI-02,43.2,55.0,38.2,55.8,43.1,56.0
MI-03,47.4,50.6,42.2,51.6,45.8,53.1
MI-04,37.1,61.2,34.7,59.5,45.5,53.5
MI-05,51.4,47.1,49.7,45.5,60.7,38.3
MI-06,46.8,51.3,42.9,51.3,48.8,50.2
MI-07,41.4,56.9,38.7,55.7,47.9,51.0
MI-08,48.8,49.6,43.9,50.6,48.0,51.1
MI-09,55.9,42.7,51.5,43.7,57.2,41.9
MI-10,34.4,64.2,31.6,63.8,43.7,55.3
MI-11,51.6,47.1,45.3,49.7,46.9,52.3
MI-12,64.2,34.4,60.8,34.5,66.2,32.8
MI-13,78.8,20.0,78.8,18.1,85.2,14.3
MI-14,79.5,19.5,79.2,18.3,81.0,18.6
MN-01,43.9,54.0,38.4,53.3,49.6,48.2
MN-02,52.4,45.5,45.3,46.5,49.1,49.0
MN-03,58.7,39.4,50.8,41.4,49.6,48.8
MN-04,67.5,30.5,61.5,30.6,62.5,35.5
MN-05,80.3,17.7,73.7,18.5,73.5,24.0
MN-06,38.8,59.0,33.2,58.9,41.5,56.5
MN-07,34.4,63.8,31.0,61.8,44.1,53.9
MN-08,41.7,56.3,38.6,54.2,51.7,46.2
MO-01,80.3,18.1,77.0,18.8,79.9,18.9
MO-02,49.2,49.2,42.3,52.6,41.4,57.1
MO-03,31.3,66.8,28.1,67.1,36.1,62.0
MO-04,31.9,66.0,29.3,65.3,36.4,61.2
MO-05,58.4,39.6,54.1,40.6,58.9,39.4
MO-06,35.0,63.3,31.7,63.1,37.9,60.0
MO-07,28.1,70.0,24.7,70.4,30.3,67.6
MO-08,21.3,77.3,21.0,75.4,32.0,65.9
MS-01,33.8,64.8,32.4,65.4,37.0,61.9
MS-02,63.7,35.2,63.6,35.1,66.4,33.0
MS-03,38.6,60.1,36.8,61.3,39.1,60.0
MS-04,30.3,68.3,28.2,69.4,31.2,67.6
MT-AL,40.6,56.9,35.9,56.5,41.7,55.4
NC-01,53.9,45.3,54.7,43.6,57.1,42.4
NC-02,64.3,34.0,60.3,35.9,57.0,41.7
NC-03,37.7,60.9,36.5,61.0,40.5,58.6
NC-04,66.6,32.2,65.2,31.9,63.2,35.7
NC-05,31.6,67.4,30.3,67.2,35.6,63.1
NC-06,61.6,37.2,59.4,37.9,58.4,40.7
NC-07,40.7,58.1,38.7,58.6,41.9,57.2
NC-08,46.1,52.5,44.1,53.2,47.3,51.8
NC-09,45.5,53.4,43.2,53.7,44.2,54.9
NC-10,31.2,67.7,29.6,67.9,34.1,64.9
NC-11,43.3,55.4,39.9,57.2,43.5,55.2
NC-12,70.1,28.5,67.3,29.5,66.5,32.6
NC-13,31.8,67.1,30.6,67.0,34.3,64.7
ND-AL,31.9,65.5,27.7,64.1,38.9,58.7
NE-01,41.3,56.3,36.2,57.5,40.8,57.5
NE-02,52.2,45.7,46.0,48.2,45.7,52.8
NE-03,22.4,75.6,20.0,74.9,27.8,70.2
NH-01,52.2,46.2,46.6,48.2,50.2,48.6
NH-02,53.5,44.8,48.6,46.2,54.2,44.5
NJ-01,62.1,36.6,60.6,36.1,65.1,33.8
NJ-02,47.9,50.8,46.0,50.6,53.5,45.4
NJ-03,49.2,49.4,45.2,51.4,51.8,47.2
NJ-04,44.1,54.6,41.0,55.8,44.7,54.2
NJ-05,51.9,46.7,47.7,48.8,47.9,50.9
NJ-06,57.2,41.5,56.2,40.6,61.4,37.4
NJ-07,54.2,44.3,48.6,47.5,46.3,52.5
NJ-08,71.8,27.2,75.7,21.5,78.3,20.8
NJ-09,62.2,36.8,64.3,33.1,68.4,30.8
NJ-10,84.2,15.0,85.2,12.8,87.9,11.5
NJ-11,52.7,46.0,47.9,48.8,46.6,52.4
NJ-12,67.3,31.4,65.0,31.8,66.5,32.4
NM-01,60.2,37.4,51.6,35.1,55.3,39.6
NM-02,43.1,54.9,39.9,50.1,44.9,51.7
NM-03,57.7,40.1,51.8,36.7,57.5,38.7
NV-01,61.5,36.4,61.6,32.6,65.6,32.4
NV-02,43.6,53.6,39.7,52.0,44.8,52.9
NV-03,49.1,48.9,46.5,47.5,49.5,48.7
NV-04,50.9,47.0,49.5,44.6,54.4,43.7
NY-01,47.3,51.5,42.2,54.5,49.6,49.1
NY-02,47.4,51.4,43.9,53.0,51.6,47.2
NY-03,54.7,44.3,51.6,45.5,50.8,48.2
NY-04,55.6,43.4,53.4,43.8,56.3,42.8
NY-05,83.3,16.2,85.7,12.7,90.6,9.1
NY-06,61.8,37.4,65.1,32.1,67.8,31.0
NY-07,81.8,17.3,86.9,10.4,88.4,10.3
NY-08,82.9,16.5,84.6,13.5,89.3,10.1
NY-09,81.4,17.8,83.5,14.4,85.3,13.8
NY-10,76.1,22.9,78.3,18.8,73.6,25.0
NY-11,44.3,54.8,43.8,53.6,51.6,47.3
NY-12,84.1,14.8,83.3,13.5,76.9,21.5
NY-13,88.1,11.1,92.3,5.4,94.6,4.6
NY-14,73.3,25.9,77.7,19.8,80.7,18.3
NY-15,86.4,13.0,93.8,4.9,96.7,3.0
NY-16,75.3,23.8,75.1,22.5,73.7,25.5
NY-17,59.6,39.4,58.6,38.4,57.1,41.8
NY-18,51.8,46.8,47.1,49.0,51.4,47.1
NY-19,49.8,48.3,44.0,50.8,52.1,45.9
NY-20,59.3,38.7,54.0,40.5,59.2,38.8
NY-21,43.8,54.2,40.0,53.9,52.2,46.1
NY-22,43.2,54.7,39.3,54.8,48.8,49.2
NY-23,43.3,54.5,39.7,54.5,48.4,49.6
NY-24,53.4,44.4,48.9,45.3,57.0,41.1
NY-25,60.1,37.8,55.5,39.1,58.8,39.4
NY-26,62.6,35.6,57.6,38.0,63.9,34.3
NY-27,41.1,56.8,35.2,59.7,42.9,55.3
OH-01,47.7,50.9,44.6,51.2,46.3,52.4
OH-02,42.9,55.6,39.7,55.8,43.7,54.7
OH-03,70.0,28.4,67.0,28.6,69.7,28.9
OH-04,31.2,67.1,30.7,64.3,42.0,56.0
OH-05,36.7,61.6,34.6,59.7,44.1,53.9
OH-06,26.5,72.2,26.7,69.3,42.7,55.2
OH-07,33.2,65.3,32.8,62.5,44.2,53.7
OH-08,32.5,66.0,30.6,65.1,36.4,61.9
OH-09,58.8,39.7,58.7,36.5,67.6,30.9
OH-10,47.0,51.4,44.0,51.3,48.2,50.1
OH-11,79.8,19.2,80.5,17.0,82.7,16.5
OH-12,46.3,52.2,41.9,53.2,43.9,54.4
OH-13,51.0,47.6,51.1,44.6,62.9,35.4
OH-14,44.9,53.9,42.1,53.6,47.6,50.9
OH-15,42.2,56.3,39.9,55.3,46.3,51.9
OH-16,42.2,56.5,39.5,56.1,45.2,53.4
OK-01,37.3,60.1,32.7,61.4,34.2,65.8
OK-02,22.1,76.1,22.8,72.9,32.2,67.8
OK-03,23.1,74.6,20.9,73.6,26.1,73.9
OK-04,32.0,65.6,28.3,65.7,32.9,67.1
OK-05,46.0,51.3,39.8,53.2,40.8,59.2
OR-01,63.3,34.0,57.3,34.5,57.3,40.0
OR-02,42.1,55.6,36.4,56.5,40.5,56.8
OR-03,74.3,23.5,70.7,22.5,72.0,24.7
OR-04,50.7,46.7,46.1,46.0,51.7,45.0
OR-05,53.6,43.9,48.3,44.1,50.5,47.1
PA-01,52.4,46.6,49.1,47.1,50.2,48.6
PA-02,70.1,29.1,72.9,24.9,77.4,21.8
PA-03,91.3,8.1,90.9,7.0,91.7,7.6
PA-04,61.5,37.4,57.8,38.5,56.1,42.8
PA-05,65.1,34.0,62.6,34.4,63.4,35.7
PA-06,56.9,41.9,52.6,43.3,51.0,47.8
PA-07,51.8,47.0,48.7,47.6,52.9,45.9
PA-08,47.3,51.7,43.7,53.3,55.3,43.4
PA-09,34.1,64.5,31.0,65.0,41.2,57.2
PA-10,47.8,50.7,43.4,52.3,46.0,52.6
PA-11,38.3,60.2,34.7,60.5,38.0,60.5
PA-12,31.2,67.3,29.7,66.1,36.8,61.5
PA-13,27.2,71.6,25.5,71.2,32.1,66.6
PA-14,35.7,63.2,33.9,62.9,40.6,58.3
PA-15,27.5,71.2,26.5,69.8,35.7,62.6
PA-16,40.0,58.7,37.9,57.9,46.9,51.7
PA-17,50.7,48.0,46.8,49.4,47.2,51.7
PA-18,64.5,34.4,62.1,34.6,63.5,35.2
RI-01,63.9,34.6,60.5,34.9,66.2,32.2
RI-02,56.0,42.5,51.1,44.0,59.8,38.3
SC-01,46.1,52.1,40.4,53.5,40.2,58.3
SC-02,43.6,54.9,38.6,56.3,39.4,59.1
SC-03,30.5,68.1,29.0,67.0,33.9,64.5
SC-04,38.9,59.3,34.5,60.2,36.2,62.2
SC-05,41.0,57.6,38.8,57.3,43.6,55.1
SC-06,67.0,31.8,66.8,30.3,70.9,28.1
SC-07,40.2,58.8,39.1,58.0,44.4,54.5
SD-AL,35.6,61.8,31.7,61.5,39.9,57.9
TN-01,22.1,76.2,19.7,76.7,25.7,72.7
TN-02,34.5,63.6,29.7,65.1,30.9,67.3
TN-03,32.9,65.3,30.2,65.4,35.1,63.3
TN-04,30.7,67.5,27.4,68.6,33.1,65.3
TN-05,60.3,36.7,56.5,38.2,55.9,42.5
TN-06,25.6,72.7,23.7,72.6,29.5,69.1
TN-07,31.3,66.9,28.2,67.5,32.9,65.7
TN-08,33.2,65.4,30.7,66.3,32.9,66.1
TN-09,78.5,19.8,77.5,19.8,78.4,20.9
TX-01,27.2,71.6,25.3,72.2,27.5,71.6
TX-02,48.6,49.9,43.1,52.4,35.6,62.9
TX-03,48.7,49.8,40.6,54.8,34.2,64.3
TX-04,24.4,74.4,21.8,75.4,24.8,74.0
TX-05,37.9,60.9,34.3,62.7,34.4,64.5
TX-06,47.8,50.8,41.9,54.2,40.8,57.9
TX-07,53.6,45.1,48.5,47.1,38.6,59.9
TX-08,28.1,70.6,23.9,72.7,21.7,77.0
TX-09,75.7,23.3,79.3,18.0,78.0,21.1
TX-10,48.4,50.0,43.2,52.3,38.8,59.1
TX-11,19.7,79.1,19.1,77.8,19.6,79.2
TX-12,37.9,60.5,32.7,62.9,31.7,66.8
TX-13,19.4,79.2,16.9,79.9,18.5,80.2
TX-14,39.6,59.0,38.4,58.2,39.5,59.3
TX-15,50.4,48.5,56.7,40.0,57.4,41.5
TX-16,66.4,32.0,67.9,27.2,64.2,34.5
TX-17,43.6,54.6,38.8,56.3,37.7,60.4
TX-18,75.7,23.0,76.5,20.0,76.1,22.8
TX-19,26.3,72.2,23.5,72.5,25.0,73.6
TX-20,63.7,34.7,61.0,34.3,58.9,39.7
TX-21,47.9,50.6,42.5,52.5,37.9,59.8
TX-22,48.9,49.8,44.2,52.1,36.7,62.1
TX-23,48.5,50.3,49.8,46.4,48.1,50.7
TX-24,51.9,46.5,44.5,50.7,38.0,60.4
TX-25,44.4,54.0,40.2,55.1,37.8,59.9
TX-26,42.1,56.3,34.4,60.9,30.7,67.6
TX-27,37.5,61.2,36.5,60.1,38.2,60.5
TX-28,51.6,47.2,58.3,38.5,60.3,38.7
TX-29,65.9,32.9,71.1,25.4,65.9,33.0
TX-30,79.8,18.9,79.1,18.3,79.6,19.6
TX-31,47.6,50.4,40.8,53.5,38.3,59.6
TX-32,54.4,44.0,48.5,46.6,41.5,57.0
TX-33,73.0,25.6,72.9,23.7,72.0,27.1
TX-34,51.5,47.5,59.2,37.7,60.8,38.3
TX-35,67.7,30.5,64.1,30.5,63.0,34.6
TX-36,26.9,71.9,25.2,72.0,25.7,73.2
UT-01,31.6,64.2,22.4,49.7,20.4,77.4
UT-02,40.2,56.1,32.0,46.0,29.2,68.0
UT-03,35.2,60.3,23.3,47.2,19.5,78.3
UT-04,43.3,52.4,32.4,39.1,30.2,67.2
VA-01,47.0,51.4,41.2,53.6,43.4,55.3
VA-02,51.4,46.7,45.4,48.8,48.2,50.5
VA-03,67.2,31.2,63.6,31.9,67.6,31.3
VA-04,61.8,36.8,58.7,37.1,60.3,38.5
VA-05,45.1,53.6,42.3,53.4,45.9,52.5
VA-06,38.6,59.8,34.9,59.7,39.5,58.8
VA-07,49.8,48.7,44.0,50.5,44.1,54.6
VA-08,77.6,21.1,73.5,20.9,67.8,31.0
VA-09,28.4,70.4,27.3,68.8,34.9,63.1
VA-10,58.9,39.6,52.2,42.2,48.8,49.9
VA-11,70.3,28.3,66.9,27.5,62.5,36.3
VT-AL,66.4,30.8,56.7,30.3,67.0,31.2
WA-01,59.1,38.2,54.1,37.8,54.1,43.3
WA-02,62.1,35.1,56.9,34.8,59.2,38.0
WA-03,46.9,50.6,42.5,49.9,47.9,49.6
WA-04,39.6,57.8,35.1,57.9,37.9,59.7
WA-05,44.0,53.0,39.1,52.2,43.7,53.5
WA-06,57.4,39.6,51.8,39.5,56.1,41.2
WA-07,85.7,12.3,82.1,12.2,79.2,18.1
WA-08,52.0,45.5,47.7,44.7,49.7,48.1
WA-09,73.3,24.6,70.5,23.3,68.3,29.6
WA-10,56.2,40.7,51.3,39.9,56.3,41.1
WI-01,44.7,53.9,42.3,52.6,47.4,51.6
WI-02,69.4,29.2,65.8,29.0,68.3,30.5
WI-03,46.8,51.5,44.8,49.3,54.8,43.8
WI-04,76.2,22.6,74.0,21.8,75.3,23.8
WI-05,41.7,56.8,37.3,57.4,37.7,61.3
WI-06,41.6,56.8,38.8,55.7,45.8,53.1
WI-07,39.3,59.2,37.3,57.7,47.8,50.9
WI-08,41.3,57.2,38.6,56.2,47.6,51.3
WV-01,30.3,68.0,26.4,68.0,35.5,62.2
WV-02,32.8,65.4,29.4,65.8,38.0,60.0
WV-03,25.5,73.1,23.3,72.5,32.8,65.0
WY-AL,26.7,70.4,22.5,70.1,28.0,69.2
